Country,League
National youth teams,Cape Verde Independence Cup
National youth teams,Central African Republic League
National youth teams,Central African Republic League D2
National youth teams,Coupe Nationale
National youth teams,Central African Republic Supercoupe
National youth teams,Chad Premier League
National youth teams,Chad Division 2
National youth teams,Chad Cup
National youth teams,Chad Super Cup
National youth teams,Coupe de Ligue de N'Djaména
National youth teams,Comoros Premier League
National youth teams,Comoros Cup
National youth teams,Comoros Super Cup
National youth teams,Congo Premier League
National youth teams,Coupe du Congo
National youth teams,Super Coupe du Congo
National youth teams,Linafoot
National youth teams,Linafoot Ligue 2
National youth teams,Coupe du Congo
National youth teams,Super Coupe du Congo
National youth teams,Djibouti Premier League
National youth teams,Djibouti Cup
National youth teams,Djibouti Super Cup
National youth teams,Egyptian Premier League
National youth teams,Egyptian Second Division A
National youth teams,Egyptian Second Division B
National youth teams,Egyptian Third Division
National youth teams,Egypt Development League
National youth teams,Egypt Cup
National youth teams,Egyptian Super Cup
National youth teams,Egyptian League Cup
National youth teams,Egypt's Love Cup
National youth teams,EFA League Cup
National youth teams,Sultan Hussein Cup
National youth teams,Equatoguinean Primera División
National youth teams,Equatorial Guinea Segunda División
National youth teams,Equatoguinean Cup
National youth teams,Equatoguinean SuperCup
National youth teams,Eritrean Premier League
National youth teams,Eritrean Cup
National youth teams,Premier League of Eswatini
National youth teams,Swazi Cup
National youth teams,Swazi Charity Cup
National youth teams,Ethiopian Premier League
National youth teams,Ethiopian Higher League
National youth teams,Ethiopian First League
National youth teams,Ethiopian Cup
National youth teams,Addis Ababa City Cup
National youth teams,Ethiopian Super Cup
National youth teams,Gabon Championnat National D1
National youth teams,Gabon Championnat National D2
National youth teams,Coupe du Gabon Interclubs
National youth teams,Supercoupe du Gabon
National youth teams,GFA League First Division
National youth teams,GFA League Second Division
National youth teams,GFA League Third Division
National youth teams,Gambian Cup
National youth teams,Gambian Super Cup
National youth teams,Ghana Premier League
National youth teams,Ghana Football Leagues
National youth teams,Ghanaian FA Cup
National youth teams,Ghana Super Cup
National youth teams,Guinée Championnat National
National youth teams,Guinée Coupe Nationale
National youth teams,Supercoupe de Guinée
National youth teams,Campeonato Nacional da Guiné-Bissau
National youth teams,Taça Nacional da Guiné Bissau
National youth teams,SuperTaça Nacional da Guiné-Bissau
National youth teams,Ligue 1
National youth teams,Ligue 2
National youth teams,Championnat Division 3
National youth teams,Coupe de Côte d'Ivoire de football
National youth teams,Coupe Houphouët-Boigny
National youth teams,Kenyan Premier League
National youth teams,Kenyan National Super League
National youth teams,FKF Division One
National youth teams,Kenyan Regional Leagues
National youth teams,Kenyan County Champions League
National youth teams,Kenyan Sub-County Leagues
National youth teams,FKF President's Cup
National youth teams,Kenyan Super Cup
National youth teams,KPL Top 8 Cup
National youth teams,Lesotho Premier League
National youth teams,Lesotho A Division
National youth teams,Lesotho Independence Cup
National youth teams,MGC Supa 8
National youth teams,Liberian First Division
National youth teams,Liberian Second Division League
National youth teams,LFA Sub-Committee League
National youth teams,Liberian Cup
National youth teams,Liberian National County Meet
National youth teams,Liberian Super Cup
National youth teams,Libyan Premier League
National youth teams,Libyan Second Division
National youth teams,Libyan Third Division
National youth teams,Libyan Fourth Division
National youth teams,Libyan Cup
National youth teams,Libyan League Cup
National youth teams,Libyan Super Cup
National youth teams,Malagasy Pro League
National youth teams,Coupe de Madagascar
National youth teams,Super Coupe de Madagascar
National youth teams,Malawi Premier Division
National youth teams,SRF League
National youth teams,FMB Under 20 Youth League
National youth teams,Malawi Carlsberg Cup
National youth teams,FISD Challenge Cup
National youth teams,Malawi Presidential Cup
National youth teams,Malawi Charity Shield
National youth teams,Malian Première Division
National youth teams,Malian Division 1
National youth teams,Malian Cup
National youth teams,Super Coupe National du Mali
National youth teams,Ligue 1 Mauritania
National youth teams,Ligue 2 Mauritania
National youth teams,Coupe du Président de la République
National youth teams,Mauritanian Super Cup
National youth teams,Mauritian League
National youth teams,Mauritian First Division
National youth teams,Mauritian Cup
National youth teams,Mauritian Republic Cup
National youth teams,Millenium Cup
National youth teams,Ram Ruhee Memorial Cup
National youth teams,MFA Super Cup
National youth teams,Botola Pro
National youth teams,Botola Pro 2
National youth teams,Amateur National Championship
National youth teams,Moroccan Throne Cup
National youth teams,Moroccan Super Cup
National youth teams,Botola
National youth teams,Moroccan Throne Cup
National youth teams,Moçambola
National youth teams,Taça de Moçambique
National youth teams,Supertaça de Moçambique
National youth teams,Namibia Premier League
National youth teams,Namibia First Division
National youth teams,Namibia Women's Super League
National youth teams,Namibia FA Cup
National youth teams,Namibian Newspaper Cup
National youth teams,Namibia Super Cup
National youth teams,Niger Premier League
National youth teams,Niger Cup
National youth teams,Niger Super Cup
National youth teams,Nigeria Premier Football League
National youth teams,Nigeria National League
National youth teams,Nigeria Nationwide League One
National youth teams,Nigeria Nationwide League Division Two
National youth teams,Nigeria Nationwide League Division Three
National youth teams,Non-League
National youth teams,Nigerian FA Cup
National youth teams,Nigerian Super Cup
National youth teams,Super 4 (Nigeria)
National youth teams,Réunion Premier League
National youth teams,Coupe de la Réunion
National youth teams,Coupe de France
National youth teams,Rwanda Premier League
National youth teams,Rwandan Second Division
National youth teams,Rwandan Third Division
National youth teams,Rwanda Women's Football League
National youth teams,Rwandan Cup
National youth teams,Rwandan Super Cup
National youth teams,São Tomé and Príncipe Championship
National youth teams,São Tomé Island League
National youth teams,Príncipe Island League
National youth teams,Taça Nacional de São Tomé e Principe
National youth teams,São Tomé Island Cup
National youth teams,Príncipe Island Cup
National youth teams,São Tomé and Príncipe Super Cup
National youth teams,Senegal Premier League
National youth teams,Senegal Ligue 1
National youth teams,Senegal Ligue 2
National youth teams,Senegal Nationale 1
National youth teams,Senegal Nationale 2
National youth teams,Senegal FA Cup
National youth teams,Senegalese Super Cup
National youth teams,Senegalese League Cup
National youth teams,Seychelles First Division
National youth teams,Seychelles Division Two
National youth teams,Seychelles Division Three
National youth teams,Airtel Cup
National youth teams,Seychelles FA Cup
National youth teams,Sierra Leone National Premier League
National youth teams,Sierra Leone FA Division One
National youth teams,Sierra Leone FA Division Two
National youth teams,Sierra Leonean FA Cup
National youth teams,Sierra Leonean Charity Shield
National youth teams,Somali First Division
National youth teams,Somali Second Division
National youth teams,Somali Third Division
National youth teams,Somalia Fourth League
National youth teams,Somalia Cup
National youth teams,Somalia Super Cup
National youth teams,Premier Soccer League
National youth teams,South African Premiership
National youth teams,South African Championship
National youth teams,SAFA Second Division
National youth teams,SAFA Regional League
National youth teams,LFA Super League
National youth teams,PSL Reserve League
National youth teams,Knockout Cup
National youth teams,Nedbank Cup
National youth teams,MTN 8
National youth teams,South Sudan Football Championship
National youth teams,South Sudan Premier League
National youth teams,South Sudan National Cup
National youth teams,Sudan Premier League
National youth teams,Khartoum League
National youth teams,Sudan Cup
National youth teams,Sudan Super Cup
National youth teams,Tanzanian Premier League
National youth teams,Tanzanian First Division League
National youth teams,Tanzanian Second Division League
National youth teams,Tanzania FA Cup
National youth teams,Tanzania Community Shield
National youth teams,Championnat National de Premiere Division
National youth teams,Coupe du Togo
National youth teams,Supercoupe du Togo
National youth teams,Tunisian Ligue Professionnelle 1
National youth teams,Tunisian Ligue Professionnelle 2
National youth teams,Tunisian Ligue 3
National youth teams,Tunisian Ligue Amateur 4
National youth teams,Tunisian Ligue Amateur 5
National youth teams,Tunisian Cup
National youth teams,Tunisian Super Cup
National youth teams,Uganda Premier League
National youth teams,FUFA Big League
National youth teams,FUFA Women Super League
National youth teams,FUFA Women Elite League
National youth teams,Ugandan Cup
National youth teams,Uganda Super 8 Cup
National youth teams,Zambia Super League
National youth teams,Zambia National Division One
National youth teams,Zambian Cup
National youth teams,Zambian Independence Cup
National youth teams,Northern Rhodesia Castle Cup
National youth teams,ABSA Cup
National youth teams,Zambian Challenge Cup
National youth teams,Zambian Coca-Cola Cup
National youth teams,Zambian Charity Shield
National youth teams,Zanzibar Premier League
National youth teams,Zanzibar Cup
National youth teams,Zanzibari Charity Shield
National youth teams,Zimbabwe Premier Soccer League
National youth teams,Zimbabwe Division 1
National youth teams,Zimbabwe Third Division
National youth teams,Zimbabwean Independence Trophy
National youth teams,Cup of Zimbabwe
National youth teams,BancABC Super8 Cup
National youth teams,NetOne Charity Shield
National youth teams,Bob 91 Super Cup
National youth teams,Uhuru Cup
National youth teams,Zimbabwe National Army Charity Shield
National youth teams,CONCACAF
National youth teams,CONCACAF Gold Cup
National youth teams,CONCACAF Nations League
National youth teams,CONCACAF Men's Olympic Qualifying
National youth teams,CONCACAF Under-20 Championship
National youth teams,Pan American Games
National youth teams,CONCACAF Under-17 Championship
National youth teams,CONCACAF Boys' Under-15 Championship
National youth teams,CONCACAF W Championship
National youth teams,CONCACAF W Gold Cup
National youth teams,CONCACAF Women's Olympic Qualifying
National youth teams,CONCACAF Women's Under-20 Championship
National youth teams,CONCACAF Women's Under-17 Championship
National youth teams,CONCACAF Girls' Under-15 Championship
National youth teams,CONCACAF Championship
National youth teams,CONCACAF Cup
National youth teams,ABCS Tournament
National youth teams,CFU
National youth teams,North American Nations Cup
National youth teams,Copa Centroamericana
National youth teams,Caribbean Cup
National youth teams,CONCACAF Champions Cup
National youth teams,CONCACAF Under-13 Champions League
National youth teams,CONCACAF League
National youth teams,CONCACAF Cup Winners Cup
National youth teams,CONCACAF Giants Cup
National youth teams,SuperLiga
National youth teams,Copa Interamericana
National youth teams,UNCAF Interclub Cup
National youth teams,Leagues Cup
National youth teams,Campeones Cup
National youth teams,CONCACAF Central American Cup
National youth teams,UNCAF
National youth teams,CONCACAF Caribbean Cup
National youth teams,CFU
National youth teams,CFU Club Shield
National youth teams,UNCAF Interclub Cup
National youth teams,UNCAF
National youth teams,CONCACAF Caribbean Club Championship
National youth teams,CFU
National youth teams,AFA Senior Male League
National youth teams,AFA Senior Female League
National youth teams,AFA Knockout Cup
National youth teams,Antigua and Barbuda Premier Division
National youth teams,Antigua and Barbuda First Division
National youth teams,Antigua and Barbuda FA Cup
National youth teams,Aruban Division di Honor
National youth teams,Aruban Division Uno
National youth teams,Aruban Division Dos
National youth teams,Aruban Liga Hubenil
National youth teams,Torneo Copa Betico Croes
National youth teams,BFA Senior League
National youth teams,Grand Bahama Football League
National youth teams,New Providence Football League
National youth teams,Bahamas President's Cup
National youth teams,Grand Bahama FA Cup
National youth teams,New Providence FA Cup
National youth teams,Barbados Premier League
National youth teams,Barbados Division One
National youth teams,Barbados Division Two
National youth teams,Barbados FA Cup
National youth teams,Premier League of Belize
National youth teams,Belize Premier Football League
National youth teams,Super League of Belize
National youth teams,Bermudian Premier Division
National youth teams,Bermuda First Division
National youth teams,Bermuda FA Cup
National youth teams,Bonaire League
National youth teams,Kopa MCB
National youth teams,BVIFA National Football League
National youth teams,Tortola League
National youth teams,Virgin Gorda League
National youth teams,Terry Evans Knockout Cup
National youth teams,Wendol Williams Cup
National youth teams,Canadian Premier League
National youth teams,Canadian Premier League Finals
National youth teams,CPL champion
National youth teams,CONCACAF Champions League
National youth teams,Major League Soccer
National youth teams,Vancouver Whitecaps
National youth teams,Toronto FC
National youth teams,CF Montréal
National youth teams,League1 Ontario
National youth teams,Canadian Championship
National youth teams,Premiere Ligue de soccer du Quebec
National youth teams,League1 British Columbia
National youth teams,Canadian Championship
National youth teams,CONCACAF Champions League
National youth teams,Challenge Trophy
National youth teams,Cayman Islands Premier League
National youth teams,Cayman Islands First Division
National youth teams,Cayman Islands FA Cup
National youth teams,Cayman Islands Digicel Cup
National youth teams,Liga FPD
National youth teams,Liga de Ascenso
National youth teams,Linafa
National youth teams,Costa Rican women's football championship
National youth teams,Costa Rican Cup
National youth teams,Supercopa de Costa Rica
National youth teams,Campeonato Nacional de Fútbol de Cuba
National youth teams,Torneo de Ascenso
National youth teams,Curaçao Promé Divishon
National youth teams,Sekshon Amatùr
National youth teams,Dominica Premiere League
National youth teams,Dominica First Division
National youth teams,CFU Club Championship
National youth teams,Liga Dominicana de Fútbol
National youth teams,Primera División de Republica Dominicana
National youth teams,Copa Dominicana de Fútbol
National youth teams,Salvadoran Primera División
National youth teams,Segunda División de Fútbol Salvadoreño
National youth teams,Tercera Division de Fútbol Salvadoreño
National youth teams,Salvadoran women's football championship
National youth teams,Copa Presidente
National youth teams,French Guiana Honor Division
National youth teams,French Guiana Promotion of Honor
National youth teams,Coupe de Guyane
National youth teams,Liga Guate
National youth teams,Primera División de Ascenso
National youth teams,Segunda División de Ascenso
National youth teams,Tercera División de Guatemala
National youth teams,Copa de Guatemala
National youth teams,Liga Guate
National youth teams,Primera División de Ascenso
National youth teams,National Women's Football League of Guatemala
National youth teams,GFA Premier Division
National youth teams,GFA First Division
National youth teams,GFA Second Division
National youth teams,GFA Super Knockout Cup
National youth teams,Guadeloupe Division of Honor
National youth teams,Guadalupe Honorary Promotion Championship
National youth teams,Coupe de Guadeloupe
National youth teams,Coupe de France
National youth teams,GFF National Super League
National youth teams,Guyana Mayors Cup
National youth teams,GFF Super 8 Cup
National youth teams,Georgetown Regional Cup
National youth teams,Ligue Haitienne
National youth teams,Coupe d'Haïti
National youth teams,Liga Nacional de Fútbol Profesional de Honduras
National youth teams,Liga Nacional de Ascenso de Honduras
National youth teams,Liga Mayor de Futbol de Honduras
National youth teams,Honduran Cup
National youth teams,Honduran Supercup
National youth teams,Jamaica National Premier League
National youth teams,KSAFA Super League
National youth teams,South Central Confederation Super League
National youth teams,Eastern Confederation Super League
National youth teams,Western Confederation Super League
National youth teams,JFF Champions Cup
National youth teams,Martinique Championnat National
National youth teams,Martinique Promotion d'Honneur
National youth teams,Coupe de la Martinique
National youth teams,Coupe de France
National youth teams,Liga MX
National youth teams,Liga de Expansión MX
National youth teams,Liga MX
National youth teams,Liga Premier de México
National youth teams,Serie A de México
National youth teams,Liga de Expansión MX
National youth teams,Serie B de México
National youth teams,Serie A de México
National youth teams,Liga TDP
National youth teams,Ascenso MX
National youth teams,Copa MX
National youth teams,Liga MX
National youth teams,Liga de Expansión MX
National youth teams,Campeón de Campeones
National youth teams,Liga MX
National youth teams,Supercopa MX
National youth teams,Copa MX
National youth teams,Liga MX Femenil
National youth teams,Super Liga Femenil de Fútbol
National youth teams,Montserrat Championship
National youth teams,Nicaraguan Primera División
National youth teams,Segunda División de Nicaragua
National youth teams,Tercera Division de Nicaragua
National youth teams,Nicaraguan women's football championship
National youth teams,Copa de Nicaragua
National youth teams,Liga Panameña de Fútbol
National youth teams,Liga Nacional de Ascenso
National youth teams,Copa Rommel Fernández
National youth teams,Copa Panamá
National youth teams,Liga Puerto Rico
National youth teams,Puerto Rico Soccer League
National youth teams,Liga Mayor de Fútbol Nacional
National youth teams,Campeonato Nacional de Fútbol de Puerto Rico
National youth teams,Liga Nacional de Fútbol de Puerto Rico
National youth teams,Torneo de Copa de Puerto Rico
National youth teams,Copa Luis Villarejo
National youth teams,Puerto Rico Soccer League Regular Season Cup
National youth teams,Puerto Rico Soccer League PlayOff Cup
National youth teams,Puerto Rico Cup of Excellence
National youth teams,SKNFA Super League
National youth teams,SKNFA Division 1
National youth teams,Saint Kitts and Nevis National Cup
National youth teams,SLFA First Division
National youth teams,SLFA Second Division
National youth teams,Saint Lucia FA Cup
National youth teams,SLFA President's Cup
National youth teams,Saint-Martin Senior League
National youth teams,Coupe des Îles du Nord
National youth teams,Coupe de Saint-Martin
National youth teams,Saint Vincent and the Grenadines Football Federation
National youth teams,Sint Maarten Senior League
National youth teams,Suriname Major League
National youth teams,SVB Tweede Divisie
National youth teams,SVB Derde Divisie
National youth teams,Beker van Suriname
National youth teams,Suriname President's Cup
National youth teams,Provo Premier League
National youth teams,Turks and Caicos FA Cup
National youth teams,TT Premier Football League
National youth teams,TT Super League
National youth teams,Tobago Premier Division
National youth teams,Trinidad and Tobago FA Trophy
National youth teams,Trinidad and Tobago Charity Shield
National youth teams,Trinidad and Tobago League Cup
National youth teams,Trinidad and Tobago Classic
National youth teams,Trinidad and Tobago Goal Shield
National youth teams,Trinidad and Tobago Pro Bowl
National youth teams,Trinidad and Tobago Super League Cup
National youth teams,U.S. Virgin Islands Championship
National youth teams,St Croix Soccer League
National youth teams,St Thomas League
National youth teams,Major League Soccer
National youth teams,MLS Cup Playoffs
National youth teams,MLS Cup
National youth teams,Canada
National youth teams,USL Championship
National youth teams,United Soccer League
National youth teams,USL Championship Final
National youth teams,MLS Next Pro
National youth teams,National Independent Soccer Association
National youth teams,USL League One
National youth teams,United Soccer League
National youth teams,National Premier Soccer League
National youth teams,NISA Nation
National youth teams,USL League Two
National youth teams,United Soccer League
National youth teams,Canada
National youth teams,United Premier Soccer League
National youth teams,USASA
National youth teams,Regional Elite Amateur and State Premier Leagues
National youth teams,State Leagues
National youth teams,United Premier Soccer League
National youth teams,U.S. Open Cup
National youth teams,MLS All-Star Game
National youth teams,George F. Donnelly Cup
National youth teams,Hank Steinbrecher Cup
National youth teams,National Amateur Cup
National youth teams,MLS Next
National youth teams,United States Club Soccer
National youth teams,Super-20 League
National youth teams,United Soccer League
National youth teams,Super Y-League
National youth teams,United Soccer League
National youth teams,National Women's Soccer League
National youth teams,United Women's Soccer
National youth teams,one team
National youth teams,Canada
National youth teams,Women's Premier Soccer League
National youth teams,Canada
National youth teams,Puerto Rico
National youth teams,United States Adult Soccer Association
National youth teams,NWSL Challenge Cup
National youth teams,USASA National Women's Cup
National youth teams,USASA National Women's Amateur
National youth teams,US Soccer National Amateur Championships
National youth teams,United Soccer Association
National youth teams,National Professional Soccer League
National youth teams,North American Soccer League (former)
National youth teams,American Soccer League (1933–83)
National youth teams,United Soccer League (former)
National youth teams,Western Soccer Alliance
National youth teams,American Soccer League (1988–89)
National youth teams,American Professional Soccer League
National youth teams,A-League
National youth teams,United Soccer Leagues
National youth teams,USL First Division
National youth teams,United Soccer Leagues
National youth teams,USSF Division 2 Professional League
National youth teams,USL Second Division
National youth teams,United Soccer Leagues
National youth teams,Women's United Soccer Association
National youth teams,Women's Professional Soccer
National youth teams,Women's Premier Soccer League Elite
National youth teams,USL W-League
National youth teams,United Soccer Leagues
National youth teams,Major Arena Soccer League
National youth teams,Canada
National youth teams,Mexico
National youth teams,Major Arena Soccer League 2
National youth teams,Premier Arena Soccer League
National youth teams,Mexico
National youth teams,United States Open Cup for Arena Soccer
National youth teams,North American Soccer League (1968–1984)
National youth teams,Major Indoor Soccer League (1978–92)
National youth teams,Continental Indoor Soccer League
National youth teams,National Professional Soccer League (1984–2001)
National youth teams,Major Indoor Soccer League (2001–08)
National youth teams,Major Indoor Soccer League (2008–14)
National youth teams,American Indoor Soccer League
National youth teams,Xtreme Soccer League
National youth teams,CONMEBOL
National youth teams,CONMEBOL
National youth teams,CONMEBOL Copa América
National youth teams,CONMEBOL Preolímpico
National youth teams,CONMEBOL Sudamericano Sub20
National youth teams,CONMEBOL Sudamericano Sub17
National youth teams,CONMEBOL Sudamericano Sub15
National youth teams,CONMEBOL Copa América Femenina
National youth teams,CONMEBOL Sudamericano Sub20 Femenino
National youth teams,CONMEBOL Sudamericano Sub17 Femenino
National youth teams,Pan American Games
National youth teams,Copa del Pacífico
National youth teams,Panamerican Championship
National youth teams,Superclásico de las Américas
National youth teams,CONMEBOL Libertadores
National youth teams,CONMEBOL Sudamericana
National youth teams,CONMEBOL Recopa
National youth teams,CONMEBOL Libertadores Femenina
National youth teams,Supercopa Libertadores
National youth teams,Copa Conmebol
National youth teams,Copa Mercosur
National youth teams,Copa Merconorte
National youth teams,Copa Simón Bolívar
National youth teams,Copa Ganadores de Copa
National youth teams,Copa Interamericana
National youth teams,Copa de Oro
National youth teams,Copa Master de CONMEBOL
National youth teams,Copa Master de Supercopa
National youth teams,Copa Iberoamericana
National youth teams,Intercontinental Champions' Supercup
National youth teams,South American Championship of Champions
National youth teams,J.League Cup / Copa Sudamericana Championship
National youth teams,Intercontinental Cup
National youth teams,Liga Profesional de Fútbol
National youth teams,Primera Nacional
National youth teams,Copa Argentina
National youth teams,Trofeo de Campeones de la Liga Profesional
National youth teams,Supercopa Argentina
National youth teams,Supercopa Internacional
National youth teams,Campeonato de Fútbol Femenino de Primera División A
National youth teams,Campeonato de Fútbol Femenino de Primera División B
National youth teams,Campeonato de Fútbol Femenino de Primera División C
National youth teams,es
National youth teams,Primera B
National youth teams,Primera C
National youth teams,Torneo Promocional Amateur
National youth teams,Torneo Federal A
National youth teams,Torneo Regional Federal
National youth teams,Torneo Federal A
National youth teams,Regional Leagues
National youth teams,División de Fútbol Profesional
National youth teams,Copa Simón Bolívar
National youth teams,Bolivian Football Regional Leagues
National youth teams,Liga Nacional B
National youth teams,Copa Bolivia
National youth teams,Campeonato Brasileiro Série A
National youth teams,Campeonato Brasileiro Série B
National youth teams,Campeonato Brasileiro Série C
National youth teams,Campeonato Brasileiro Série D
National youth teams,Copa do Brasil
National youth teams,Copa Verde
National youth teams,Copa do Nordeste
National youth teams,Supercopa do Brasil
National youth teams,Copa Verde
National youth teams,Copa do Nordeste
National youth teams,Copa Paulista
National youth teams,Copa Centro-Oeste
National youth teams,Copa Norte
National youth teams,Campeonato Brasileiro Sub-23
National youth teams,Campeonato Brasileiro Sub-20
National youth teams,Copa do Brasil Sub-20
National youth teams,Supercopa do Brasil Sub-20
National youth teams,Campeonato Brasileiro Sub-17
National youth teams,Copa do Brasil Sub-17
National youth teams,Supercopa do Brasil Sub-17
National youth teams,Campeonato Brasileiro de Futebol Feminino Série A1
National youth teams,Campeonato Brasileiro de Futebol Feminino Série A2
National youth teams,Campeonato Brasileiro de Futebol Feminino Série A3
National youth teams,Copa do Brasil de Futebol Feminino
National youth teams,Copa Sul-Minas
National youth teams,Torneio Rio-São Paulo
National youth teams,Primeira Liga
National youth teams,Copa dos Campeões
National youth teams,Brazilian states football championships
National youth teams,Campeonato Acreano
National youth teams,Campeonato Amazonense
National youth teams,Campeonato Roraimense
National youth teams,Campeonato Paraense
National youth teams,Campeonato Rondoniense
National youth teams,Campeonato Tocantinense
National youth teams,Campeonato Amapaense
National youth teams,Campeonato Baiano
National youth teams,Campeonato Pernambucano
National youth teams,Campeonato Alagoano
National youth teams,Campeonato Sergipano
National youth teams,Campeonato Potiguar
National youth teams,Campeonato Maranhense
National youth teams,Campeonato Piauiense
National youth teams,Campeonato Cearense
National youth teams,Campeonato Paraibano
National youth teams,Campeonato Matogrossense
National youth teams,Campeonato Sul-Matogrossense
National youth teams,Campeonato Goiano
National youth teams,Campeonato Brasiliense
National youth teams,Campeonato Paulista
National youth teams,Campeonato Carioca
National youth teams,Campeonato Mineiro
National youth teams,Campeonato Capixaba
National youth teams,Campeonato Gaúcho
National youth teams,Campeonato Catarinense
National youth teams,Campeonato Paranaense
National youth teams,Primera División
National youth teams,Primera División B
National youth teams,Segunda División Profesional
National youth teams,Tercera División A
National youth teams,Tercera División B
National youth teams,Copa Chile
National youth teams,Supercopa de Chile
National youth teams,Primera División Femenina
National youth teams,Primera División B Femenina
National youth teams,Primera A
National youth teams,Primera B
National youth teams,Copa Colombia
National youth teams,Superliga Colombiana
National youth teams,Serie A
National youth teams,Serie B
National youth teams,Segunda Categoría
National youth teams,Copa Ecuador
National youth teams,Supercopa Ecuador
National youth teams,Primera División
National youth teams,Segunda División
National youth teams,Tercera División
National youth teams,Primera División B Metropolitana
National youth teams,Paraguayan Primera División B Nacional
National youth teams,Campeonato Nacional de Interligas
National youth teams,Cuarta División
National youth teams,Primera División C
National youth teams,Paraguay's regional leagues
National youth teams,Copa Paraguay
National youth teams,Supercopa Paraguay
National youth teams,Liga 1
National youth teams,Liga 2
National youth teams,Liga 3
National youth teams,Copa Perú
National youth teams,Ligas Departamentales del Perú
National youth teams,Ligas Provinciales del Peru
National youth teams,Ligas Distritales del Peru
National youth teams,Copa LFP - FPF
National youth teams,Copa Bicentenario
National youth teams,Torneo del Inca
National youth teams,Supercopa Peruana
National youth teams,Copa Federación
National youth teams,Copa de Campeones del Perú
National youth teams,Primera División
National youth teams,Segunda División
National youth teams,Primera División Amateur
National youth teams,Uruguayan Liga Metropolitana Amateur
National youth teams,Supercopa Uruguaya
National youth teams,Copa Uruguay
National youth teams,Torneo Intermedio(Uruguay)
National youth teams,es
National youth teams,Primera División
National youth teams,Segunda División
National youth teams,Tercera Division
National youth teams,Copa Venezuela
National youth teams,OFC
National youth teams,OFC
National youth teams,Tahiti
National youth teams,OFC Men's Nations Cup
National youth teams,Pacific Games
National youth teams,OFC Men's Olympic Qualifier
National youth teams,OFC U-19 Championship
National youth teams,OFC U-16 Championship
National youth teams,OFC Women's Nations Cup
National youth teams,OFC U-19 Women's Championship
National youth teams,OFC U-16 Women's Championship
National youth teams,MSG Prime Minister's Cup
National youth teams,Wantok Cup
National youth teams,Polynesia Cup
National youth teams,OFC Men's Champions League
National youth teams,OFC Pro League
National youth teams,OFC Women's Champions League
National youth teams,Oceania Cup Winners' Cup
National youth teams,OFC President's Cup
National youth teams,Melanesian Super Cup
National youth teams,ASFA Soccer League
National youth teams,1
National youth teams,2
National youth teams,FFAS President's Cup
National youth teams,Cook Islands Round Cup
National youth teams,Cook Islands Cup
National youth teams,Fiji Premier League
National youth teams,Fiji Senior League
National youth teams,Inter-District Championship
National youth teams,Club Franchise League
National youth teams,FF Cup
National youth teams,Fiji Battle of the Giants
National youth teams,Fiji Champion versus Champion
National youth teams,Girmit Soccer Tournament
National youth teams,Kiribati National Championship
National youth teams,New Caledonia Super Ligue
National youth teams,New Caledonia Second Level
National youth teams,Coupe de Calédonie
National youth teams,National League
National youth teams,Northern League
National youth teams,National League
National youth teams,Central League
National youth teams,National League
National youth teams,Southern League
National youth teams,National League
National youth teams,Chatham Cup
National youth teams,Charity Cup
National youth teams,New Zealand National League
National youth teams,Chatham Cup
National youth teams,Women's National League
National youth teams,Kate Sheppard Cup
National youth teams,NRFL Championship
National youth teams,NRFL Conference
National youth teams,NRF League One
National youth teams,Central League 2
National youth teams,Central Federation League
National youth teams,Capital Premier
National youth teams,Central Federation Cup
National youth teams,Central Football
National youth teams,Canterbury Premiership League
National youth teams,Nelson Bays Premiership League
National youth teams,Southern Premiership League
National youth teams,Canterbury Championship League
National youth teams,South Canterbury Division 1
National youth teams,Fletcher Cup
National youth teams,Donald Gray Memorial Cup
National youth teams,English Cup
National youth teams,Mainland Football
National youth teams,Reta Fitzpatrick Cup
National youth teams,Mainland Football
National youth teams,Papua New Guinea National Soccer League
National youth teams,Papua New Guinea National Club Championship
National youth teams,Papua New Guinea FA Cup
National youth teams,Samoa National League
National youth teams,Samoa Cup
National youth teams,Solomon Islands S-League
National youth teams,Honiara FA League
National youth teams,The Solomon Islands Knockout Championship
National youth teams,Solomon Islands National Club Championship (2000–10)
National youth teams,Interprovincial Tournament 1977–1985
National youth teams,Solomon Cup
National youth teams,Malaita Cup
National youth teams,Tahitian Ligue 1
National youth teams,Tahitian Ligue 2
National youth teams,Tahiti Cup
National youth teams,Tahiti Coupe des Champions
National youth teams,Tonga Major League
National youth teams,Tonga Division II
National youth teams,Tonga Cup
National youth teams,Tuvalu A-Division
National youth teams,Tuvalu B-Division
National youth teams,Tuvalu A-Division League (women's)
National youth teams,Taganoa Cup
National youth teams,Independence Cup
National youth teams,Christmas Cup
National youth teams,Tuvalu Games
National youth teams,Port Vila Football League
National youth teams,VFF National Super League
National youth teams,Port Vila Shield
National youth teams,Port Vila FA Cup
National youth teams,UEFA
National youth teams,UEFA
National youth teams,UEFA European Championship
National youth teams,UEFA Nations League
National youth teams,UEFA Euro
National youth teams,European Qualifiers
National youth teams,FIFA World Cup
National youth teams,UEFA Nations League Finals
National youth teams,Baltic Cup
National youth teams,Estonian
National youth teams,Latvian
National youth teams,Lithuanian
National youth teams,UEFA Under-21 Championship
National youth teams,Men's Olympic Football Tournament
National youth teams,UEFA Under-19 Championship
National youth teams,UEFA Under-17 Championship
National youth teams,UEFA Women's Championship
